,,,Category 5.0 & Segmentation,,,Category 5.0 & Segmentation,,Category 5.0 & Segmentation,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,1 . Category Specific Attributes,,2. Standard Electric Specs,,,2. Standard Electric Specs,,,2. Standard Electric Specs,,2. Standard Electric Specs,,2. Standard Electric Specs,,2. Standard Electric Specs,,2. Standard Electric Specs,,2. Standard Electric Specs,,,3. Product Dimensions,,3. Product Dimensions,,3. Product Dimensions,,3. Product Dimensions,,5. Packaging & What is included,,5. Packaging & What is included,,5. Packaging & What is included,,5. Packaging & What is included,,5. Packaging & What is included,
10034214,Tron Ambience 40cm A Class Wht,Klarstein,Tron Ambience,,,,,,,,,38,,,,,521,,,365,,,E,,,B,,,E,,,,,,,66,,,60,,,,,,,Yes,,,,150,,LED,,,,,,Yes,,,,Electronic Button,,AC,,165,,No,,No,,No,,,,,,,,No,,,,,White,,,,No,,,,,,,,,,,,A,,,37.6,,,220-240 V ~ 50/60 Hz,,No plug,,1.5,,Class I,,165,,66,,,42,,38,,38,,22,,,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10034523,Kronleuchter 90cm A Class Wht,Klarstein,Kronleuchter,,,,,,,,,38,,,,,577,,,402,,,C,,,A,,,B,,,,,,,58,,,51,,,,,,,Yes,,,,150,,LED,,,,,,Yes,,,,Electronic Button,,AC,,165,,No,,No,,No,,,,,,,,No,,0.01,,,White,,,,No,,,,,,,,,,,,A,,,36.2,,,220-240 V ~ 50/60 Hz,,Type E/F - 2 pin (German) - Schuko,,1.5,,Class I,,165,,58,,,42,,90,,38,,22,,,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10034849,Structura 90cm A Class Slv,Klarstein,Structura,,,,,,,,,41,,,,,624,,,272,,,D,,,A,,,A,,,,,,,,,,59,,,,,,,Yes,,,,150,,LED,,,,1.5,,No,,,,Electronic Button,,AC,,250,,No,,No,,No,,Stainless Steel,,1174,,655,,Yes,,,,,Silver,,,,No,,,,,,,,,,,,A,,,44.3,,,220-240 V ~ 50/60 Hz,,Type C 16A - 2 pin (Europlug),,1.3,,Class I,,253,,72,,,117.4,,41,,36,,20,,ISTA 3A,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10034850,Structura 90cm A Class Blk,Klarstein,Structura,,,,,,,,,41,,,,,624,,,272,,,D,,,A,,,A,,,,,,,,,,59,,,,,,,Yes,,,,150,,LED,,,,1.5,,No,,,,Electronic Button,,AC,,250,,No,,No,,No,,Coated Steel,,1174,,655,,Yes,,,,,Black,,,,No,,,,,,,,,,,,A,,,44.3,,,220-240 V ~ 50/60 Hz,,Type C 16A - 2 pin (Europlug),,1.3,,Class I,,253,,72,,,117.4,,41,,36,,20,,ISTA 3A,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10034974,Valeria 90cm A Class Wht,Klarstein,Valeria,,,,,,,,,90,,,,,642,,,348,,,D,,,A,,,B,,,,,,,,,,70,,,,,,,Yes,,,,150,,LED,,,,1.5,,No,,,,Touch,,DC,,75,,Yes,,No,,No,,Coated Steel,,,,,,Yes,,0.46,,,White,,,,No,,,,,,,,,,,,A,,,47.9,,,220-240 V ~ 50/60 Hz,,Type E/F - 2 pin (German) - Schuko,,,,Class I,,81,,78,,,119,,90,,60,,33,,ISTA 1A,,1,,Hood+Installation kit + Instruction Manual + Exhaust Hose,,,,,
10035165,Barett 35cm A+ Class Cpp,Klarstein,Barett,,,,,,,,,35,,,,,522,,,191,,,C,,,B,,,A,,,,,,,,,,42,,,,,,,Yes,,,,150,,LED,,,,,,No,,,,Electronic Button,,DC,,75,,No,,No,,No,,,,,,,,Yes,,0.48,,,Copper,,,,No,,,,,,,,,,,,A+,,,16.2,,,220-240 V ~ 50/60 Hz,,No plug,,,,Class I,,77,,65,,,38,,35,,35,,10,,ISTA 1A+,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10035166,Beretta 90cm A+ Class Cpp,Klarstein,Beretta,,,,,,,,,35,,,,,372,,,295,,,C,,,C,,,A,,,,,,,71,,,61,,,,,,,Yes,,,,150,,LED,,,,,,No,,,,Electronic Button,,DC,,75,,Yes,,No,,No,,Coated Steel,,,,,,No,,,,,Copper,,,,No,,,,,,,,,,,,C,,,66,,,220-240 V ~ 50/60 Hz,,Type E/F - 2 pin (German) - Schuko,,,,Class I,,77,,71,,,118,,35,,35,,17,,ISTA 1A,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10035378,Skyfall 45cm C Class Gld,Klarstein,Skyfall,,,,,,,,,45,,413,,,402,,,226,,,E,,,D,,,A,,,3,,1,,62,,,48,,,,,,,Yes,,,,,,LED,,,,20,,No,,,,Knob,,AC,,200,,No,,No,,No,,,,1450,,,,No,,1.68,,,Gold,,,,No,,,,,,,,,,,,C,,,66.6,,,220-240 V ~ 50/60 Hz,,No plug,,1.85,,Class I,,220,,62,,,187,,45,,45,,12.7,,ISTA 1A,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10035379,Skyfall 45cm C Class Blk,Klarstein,Skyfall,,,,,,,,,45,,413,,,402,,,226,,,E,,,D,,,A,,,3,,1,,62,,,48,,,,,,,Yes,,,,,,LED,,,,20,,No,,,,Knob,,AC,,200,,No,,No,,No,,,,1450,,,,No,,1.68,,,Black,,,,No,,,,,,,,,,,,C,,,66.6,,,220-240 V ~ 50/60 Hz,,No plug,,1.85,,Class I,,220,,62,,,187,,45,,45,,12.7,,ISTA 1A,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10035710,Kronleuchter 40cm A Class Smart Blk,Klarstein,Kronleuchter,,,,,,,,,40,,595,,,498,,,243,,,E,,,B,,,E,,,3,,1,,67,,,46,,,,,,,Yes,,,,150,,LED,,,,10,,No,,,,Touch,,AC,,240,,No,,No,,No,,,,,,,,Yes,,,,,Black,,,,Yes,,,,,,,,,,,,A,,,44.3,,,220-240 V ~ 50/60 Hz,,Type C 16A - 2 pin (Europlug),,1.3,,Class I,,250,,64,,,44.5,,40,,40,,15.5,,ISTA 3A,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10035711,Kronleuchter 40cm A Class Smart Wht,Klarstein,Kronleuchter,,,,,,,,,40,,595,,,498,,,243,,,E,,,B,,,E,,,3,,1,,67,,,46,,,,,,,Yes,,,,150,,LED,,,,10,,No,,,,Touch,,AC,,240,,No,,No,,No,,,,,,,,Yes,,,,,White,,,,Yes,,,,,,,,,,,,A,,,44.3,,,220-240 V ~ 50/60 Hz,,Type C 16A - 2 pin (Europlug),,1.3,,Class I,,250,,64,,,44.5,,40,,40,,15.5,,ISTA 3A,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10035974,Kronleuchter 45cm A Class Blk,Klarstein,Kronleuchter,,,,,,,,,44,,,,,596,,,300,,,D,,,A,,,A,,,,,,,,,,58,,,,,,,Yes,,,,150,,LED,,,,,,No,,,,Electronic Button,,AC,,230,,No,,No,,No,,,,,,,,No,,,,,Black,,,,No,,,,,,,,,,,,A,,,40.3,,,220-240 V ~ 50/60 Hz,,No plug,,1.5,,Class I,,233,,69,,,44,,44,,44,,18,,,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10037973,Skyfall 45cm C Class Slv,Klarstein,Skyfall,,,,,,,,,45,,413,,,402,,,226,,,E,,,D,,,A,,,3,,1,,62,,,48,,,,,,,Yes,,,,,,LED,,,,20,,No,,,,Knob,,AC,,200,,No,,No,,No,,,,1450,,,,No,,,,,Silver,,,,No,,,,,,,,,,,,C,,,66.6,,,220-240 V ~ 50/60 Hz,,No plug,,1.85,,Class I,,220,,62,,,187,,45,,45,,12.7,,ISTA 1A,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10038708,Futurelight 45cm C Class Smart Gld,Klarstein,Futurelight,,,,,,,,,45,,413,,,402,,,227,,,E,,,D,,,A,,,3,,1,,62,,,48,,,,,,,Yes,,,,,,LED,,,,,,No,,,,Knob,,AC,,200,,No,,No,,No,,,,1450,,,,No,,,,,Gold,,,,Yes,,,,,,,,,,,,C,,,60.6,,,220-240 V ~ 50/60 Hz,,No plug,,1.85,,Class I,,220,,62,,,187,,45,,45,,13.1,,ISTA 1A,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10038709,Futurelight 45cm C Class Smart Blk,Klarstein,Futurelight,,,,,,,,,45,,413,,,402,,,227,,,E,,,D,,,A,,,3,,1,,62,,,48,,,,,,,Yes,,,,,,LED,,,,,,No,,,,Knob,,AC,,200,,No,,No,,No,,,,1450,,,,No,,,,,Black,,,,Yes,,,,,,,,,,,,C,,,60.6,,,220-240 V ~ 50/60 Hz,,No plug,,1.85,,Class I,,220,,62,,,187,,45,,45,,13.1,,ISTA 1A,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10038710,Futurelight 45cm C Class Smart Slv,Klarstein,Futurelight,,,,,,,,,45,,413,,,402,,,227,,,E,,,D,,,A,,,3,,1,,62,,,48,,,,,,,Yes,,,,,,LED,,,,,,No,,,,Knob,,AC,,200,,No,,No,,No,,,,1450,,,,No,,,,,Silver,,,,Yes,,,,,,,,,,,,C,,,60.6,,,220-240 V ~ 50/60 Hz,,No plug,,1.85,,Class I,,220,,62,,,187,,45,,45,,13.1,,ISTA 1A,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10041223,Bolea 90cm A++ Class Blk,Klarstein,Bolea,,,,,,,,,38,,651,,,581,,,367,,,D,,,A,,,A,,,3,,1,,67,,,48,,,,,,,Yes,,,,150,,LED,,,,,,No,,,,Electronic Button,,DC,,120,,No,,No,,No,,Coated Steel,,1333,,760,,Yes,,,,,Black,,,,No,,,,,,,,,,,,A++,,,22.2,,,220-240 V ~ 50/60 Hz,,Type C 16A - 2 pin (Europlug),,1.3,,Class I,,126,,65,,,133.3,,38,,38,,22,,ISTA 3A,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10041224,Bolea 90cm A++ Class Slv,Klarstein,Bolea,,,,,,,,,38,,651,,,581,,,367,,,D,,,A,,,A,,,3,,1,,67,,,48,,,,,,,Yes,,,,150,,LED,,,,,,No,,,,Electronic Button,,DC,,120,,No,,No,,No,,Stainless Steel,,1333,,760,,Yes,,,,,Silver,,,,No,,,,,,,,,,,,A++,,,22.2,,,220-240 V ~ 50/60 Hz,,Type C 16A - 2 pin (Europlug),,1.3,,Class I,,126,,65,,,133.3,,38,,38,,22,,ISTA 3A,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10041225,Bolea 90cm A++ Class Wht,Klarstein,Bolea,,,,,,,,,38,,651,,,581,,,367,,,D,,,A,,,A,,,3,,1,,67,,,48,,,,,,,Yes,,,,150,,LED,,,,,,No,,,,Electronic Button,,DC,,120,,No,,No,,No,,Coated Steel,,1333,,760,,Yes,,,,,White,,,,No,,,,,,,,,,,,A++,,,22.2,,,220-240 V ~ 50/60 Hz,,Type C 16A - 2 pin (Europlug),,1.3,,Class I,,126,,65,,,133.3,,38,,38,,22,,ISTA 3A,,1,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10045304,Colette 90cm A++ Class Slv,Klarstein,Colette,,,,,,,,,90,,601,,,523,,,327,,,D,,,A,,,A,,,3,,1,,63,,,51,,,,,,,Yes,,,,150,,LED,,,,1.5,,No,,,,Touch,,DC,,70,,No,,No,,No,,Stainless Steel,,1190,,600,,Yes,,,,,Silver,,,,No,,,,,,,,,,,,A++,,,12.7,,,220-240 V ~ 50/60 Hz,,Type C 16A - 2 pin (Europlug),,1.3,,Class I,,73,,62,,,123,,90,,60,,22.3,,ISTA 3A,,,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,,,,
10045488,Beretta Premium 90cm A Class Smart Blk,Klarstein,Beretta Premium,,,,,,,,,90,,544,,,471,,,250,,,D,,,A,,,A,,,3,,1,,68,,,64,,,,,,,Yes,,,,150,,LED,,,,,,Yes,,,,Electronic Button,,DC,,120,,No,,No,,No,,Coated Steel,,1340,,755,,Yes,,,,,Black,,,,Yes,,,,,,,,,,,,A,,,28.7,,,220-240 V ~ 50/60 Hz,,Type C 16A - 2 pin (Europlug),,1.3,,Class I,,133,,65,,,134,,90,,50,,30,,ISTA 3A,,2,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,Glass,,,
10045489,Beretta Premium 90cm A Class Smart Wht,Klarstein,Beretta Premium,,,,,,,,,90,,544,,,471,,,250,,,D,,,A,,,A,,,3,,1,,68,,,64,,,,,,,Yes,,,,150,,LED,,,,,,Yes,,,,Electronic Button,,DC,,120,,No,,No,,No,,Coated Steel,,1340,,755,,Yes,,,,,White,,,,Yes,,,,,,,,,,,,A,,,28.7,,,220-240 V ~ 50/60 Hz,,Type C 16A - 2 pin (Europlug),,1.3,,Class I,,133,,65,,,134,,90,,50,,30,,ISTA 3A,,2,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,Glass,,,
10045490,Beretta Premium 90cm A Class Smart Slv,Klarstein,Beretta Premium,,,,,,,,,90,,544,,,471,,,250,,,D,,,A,,,A,,,3,,1,,68,,,64,,,,,,,Yes,,,,150,,LED,,,,,,Yes,,,,Electronic Button,,DC,,120,,No,,No,,No,,Stainless Steel,,1340,,755,,Yes,,,,,Silver,,,,Yes,,,,,,,,,,,,A,,,28.7,,,220-240 V ~ 50/60 Hz,,Type C 16A - 2 pin (Europlug),,1.3,,Class I,,133,,65,,,134,,90,,50,,30,,ISTA 3A,,2,,Hood+Installation kit + Instruction Manual + 2 Carbon Filter,,Glass,,,
10046844,Klarstein Torian 45cm Black,Klarstein,Torian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,59.8,,50.3,,11.42,,,,,,,,,,,
